state,city
CA,Santa Barbara
MO,Affton
AZ,Tucson
PA,Philadelphia
PA,Green Lane
TN,Ashland City
MO,Brentwood
FL,St. Petersburg
TN,Nashville
FL,Land O' Lakes
FL,Tampa Bay
IN,Indianapolis
FL,Clearwater
FL,Largo
LA,New Orleans
LA,Kenner
AB,Edmonton
NV,Reno
PA,Newtown
TN,White House
ID,Boise
PA,Paoli
PA,Ardmore
PA,Exton
DE,Wilmington
IL,Edwardsville
NV,Sparks
IL,Alton
NJ,Cherry Hill
PA,Bala Cynwyd
PA,Springfield
IL,Belleville
IN,Carmel
FL,Tampa
PA,Kennett Square
PA,Plymouth Meeting
LA,Harvey
PA,West Chester
ID,Meridian
FL,Hudson
NV,Fernley
NJ,Williamstown
FL,Pinellas Park
PA,Glenolden
FL,Wesley Chapel
IN,Fishers
NJ,Burlington
IL,Troy
NJ,Camden
IN,Plainfield
PA,Bensalem
MO,Maplewood
MO,Saint Louis
IL,Fairview Heights
AZ,Oro Valley
FL,Treasure Island
PA,Southampton
PA,Chalfont
PA,Willow Grove
NJ,Voorhees
FL,Tarpon Springs
PA,Blue Bell
LA,Metairie
TN,Brentwood
NJ,Woodbury
IN,Brownsburg
PA,Norristown
FL,Land O Lakes
IN,Greenwood
FL,Saint Petersburg
PA,Brookhaven
PA,Haverford
PA,Glenside
NJ,Moorestown
TN,Madison
NJ,Ewing
PA,Levittown
NJ,Gloucester Township
PA,Aston
FL,Riverview
PA,Warrington
PA,Wyncote
MO,St. Louis
PA,Havertown
FL,Madeira Beach
FL,Lutz
PA,Langhorne
PA,King of Prussia
IL,Smithton
PA,Jenkintown
FL,New Port Richey
IN,Avon
MO,Normandy
PA,Wayne
TN,Franklin
AZ,Tuscon
FL,Brandon
PA,Berwyn
FL,TAMPA
AB,St Albert
FL,Terra Ceia
PA,Delaware County
TN,Hermitage
PA,Doylestown
FL,Temple Terrace
PA,Downingtown
AB,Sherwood Park
NV,Virginia City
NJ,Trenton
NJ,Bellmawr
AZ,Marana
LA,Belle Chasse
NJ,Somerdale
PA,Warminster
TN,Smyrna
PA,Chester
FL,Odessa
PA,Horsham
PA,Valley Forge
FL,Apollo Beach
PA,Malvern
NJ,Maple Shade
PA,Lansdale
FL,St. Pete Beach
MO,Ballwin
NJ,Cedarbrook
FL,Spring Hill
TN,Goodlettsville
PA,Villanova
FL,Holiday
PA,Narberth
FL,Oldsmar
PA,Bristol
CA,Isla Vista
PA,Perkiomenville
FL,Seminole
FL,Gulfport
NJ,Glassboro
NJ,Haddonfield
PA,Montgomeryville
MO,Chesterfield
MO,Fenton
NJ,Pennsville
NJ,Haddon Heights
PA,Morrisville
CA,Goleta
MO,Hazelwood
TN,View
PA,North Wales
PA,Upper Darby
PA,Elkins Park
NJ,Medford
MO,St Louis
TN,Kingston Springs
IN,Noblesville
NJ,Mullica Hill
NJ,Palmyra
PA,New Hope
FL,St Petersburg
TN,Mount Juliet
PA,Buckingham
TN,Mt. Juliet
PA,Media
MO,Saint Charles
LA,Chalmette
MO,High Ridge
PA,Conshohocken
FL,Hernando Beach
MO,Florissant
NJ,Sicklerville
MO,University City
IN,Mooresville
PA,Chadds Ford
NJ,Woodstown
FL,Plant City
AZ,Catalina Foothills
FL,Spring HIll
IL,O Fallon
FL,Ruskin
MO,Town and Country
IL,Lebanon
MO,Bridgeton
PA,Skippack
PA,Bryn Mawr
FL,Safety Harbor
MO,Jennings
ID,Eagle
PA,Feasterville
PA,Pottstown
CA,Carpinteria
NJ,Marlton
PA,Spring City
FL,Valrico
NJ,Riverside
NJ,Lambertville
MO,Creve Coeur
AZ,Green Valley
PA,Ambler
MO,Manchester
PA,Hatfield
MO,St. Charles
NJ,Clementon
CA,Montecito
IL,Godfrey
NJ,Florence Township
IL,Mascoutah
FL,Trinity
NJ,Sewell
PA,King Of Prussia
PA,Yardley
NJ,Delran
PA,St. Davids
DE,Newark
PA,Primos
PA,Huntingdon Valley
FL,Bellair
NJ,Collingswood
LA,Marrero
NJ,Mount Laurel
PA,Collingdale
PA,Fort Washington
TN,Hendersonville
PA,Silverdale
PA,Limerick
NJ,Haddon Township
NJ,Cinnaminson
PA,Lionville
PA,Oreland
NJ,Turnersville
LA,Westwego
PA,Prospect Park
IL,Cahokia
FL,Port Richey
NJ,Atco
PA,Fountainville
PA,Collegeville
PA,Royersford
FL,Dunedin
PA,Bridgeport
NJ,Mount Laurel Township
IL,Glen Carbon
PA,Roslyn
NJ,West Berlin
PA,Huntingdon Valley PA
PA,Washington Crossing
IN,Zionsville
MO,St Charles
PA,Drexel Hill
NV,Verdi
NJ,Riverton
PA,Folsom
FL,Town 'n' Country
FL,Clearwater Beach
PA,Harleysville
FL,St Pete Beach
NJ,Lawnside
TN,Pleasant View
MO,Arnold
PA,Thorndale
FL,Seffner
PA,Kimberton
PA,East Norriton
FL,Zephyrhills
MO,Maryland Heights
MO,Overland
PA,Schwenksville
IL,Granite City
PA,Dublin
LA,Harahan
MO,Warson Woods
PA,Flourtown
TN,Old Hickory
FL,Sun City Center
NJ,Franklinville
FL,Palm Harbor
NJ,Voorhees Township
PA,Oaks
PA,Phoenixville
TN,NASHVILLE
FL,Temple Terr
NJ,Pitman
PA,Line Lexington
NJ,Runnemede
DE,Hockessin
PA,Newtown Square
AB,St. Albert
MO,Ferguson
LA,Gretna
TN,Springfield
PA,Fairless Hills
PA,Clifton Heights
MO,Des Peres
NJ,Pennsauken
PA,Trooper
FL,North Redington Beach
PA,Ridley Park
MO,Earth City
PA,Woodlyn
PA,Avondale
NJ,Lumberton
PA,Hatboro
PA,Lahaska
NJ,Westville
PA,Boothwyn
